"DATA SOURCE: US Census Bureau QuickFacts, https://www.census.gov/quickfacts/fact/table/US/PST045218",,,,,,,,,
City,State,2018 Population,Population Change (2010-2018 est) - weighted 40%,In Civilian Labor Force - weighted 10%,Median Household Income - weighted 10%,Persons Without Health Insurance - weighted 15%,Median Commute Time - weighted 15%,Percent in Poverty - weighted 10%,WEIGHTED Z-SCORE
Duluth,Minnesota,"85,884",-0.40%,65.90%,"$47,227.00",5.20%,17,20.30%,-0.053880536
Taylorsville,Utah,"60,192",2.60%,72.00%,"$59,968.00",15.40%,21.4,11.20%,-0.050793501
Annapolis,Maryland,"39,174",2.30%,71.20%,"$81,143.00",13.40%,26.5,9.90%,-0.047535014
Leominster,Massachusetts,"41,823",2.60%,67.50%,"$57,610.00",5.10%,27,13.40%,-0.046612734
Port Orange,Florida,"64,252",13.50%,54.70%,"$48,478.00",15.50%,21.8,14.90%,-0.046407358
Menifee,California,"92,595",19.50%,55.60%,"$60,808.00",9.30%,41,10.40%,-0.045568261
Fond du Lac,Wisconsin,"42,959",-0.10%,64.20%,"$48,129.00",6.80%,18.1,12.60%,-0.044309665
Midland,Michigan,"41,800",-0.20%,60.80%,"$58,910.00",6.50%,18,12.40%,-0.04392533
Janesville,Wisconsin,"64,565",1.50%,66.30%,"$52,617.00",7.70%,21.2,13.30%,-0.042772991
Bristol,Connecticut,"60,032",-0.70%,67.50%,"$64,586.00",6.60%,23.3,10.40%,-0.042498878
Hoffman Estates,Illinois,"51,197",-1.30%,73.00%,"$87,608.00",8.20%,31,4.40%,-0.040414157
Schaumburg,Illinois,"73,509",-1.00%,71.40%,"$77,022.00",6.40%,29.2,6.70%,-0.037877934
Bolingbrook,Illinois,"75,178",2.50%,72.70%,"$83,419.00",10.50%,31.5,7.70%,-0.035436334
Chino,California,"91,583",17.30%,52.00%,"$75,530.00",12.40%,34.1,11.70%,-0.035072888
Tuscaloosa,Alabama,"101,113",11.90%,54.90%,"$42,428.00",10.10%,19.4,23.70%,-0.034097804
Warwick,Rhode Island,"80,847",-2.20%,67.60%,"$71,191.00",6.00%,24.3,6.70%,-0.033064414
Cranston,Rhode Island,"81,274",0.90%,62.90%,"$64,282.00",6.40%,22.6,9.90%,-0.032186637
Lafayette,Indiana,"72,168",4.80%,70.30%,"$43,894.00",15.10%,16.7,18.90%,-0.031559703
Corvallis,Oregon,"58,641",7.60%,59.20%,"$46,285.00",8.10%,16.9,27.30%,-0.030381268
Chicopee,Massachusetts,"55,582",0.50%,62.10%,"$48,866.00",4.00%,19.1,14.40%,-0.030272708
Greensboro,North Carolina,"294,722",9.60%,64.00%,"$44,978.00",13.80%,20.7,19.20%,-0.03004949
North Las Vegas,Nevada,"245,949",13.50%,64.30%,"$55,828.00",17.70%,26.3,15.10%,-0.029719854
Gainesville,Georgia,"41,464",21.80%,63.50%,"$41,250.00",25.60%,21.6,27.20%,-0.026010314
Placentia,California,"51,671",1.50%,67.60%,"$88,501.00",8.80%,28.5,8.80%,-0.025994768
Phoenix,Arizona,"1,660,272",14.70%,66.10%,"$52,080.00",18.00%,25.4,20.90%,-0.025914571
Costa Mesa,California,"113,615",3.20%,72.30%,"$75,109.00",15.70%,22.5,13.80%,-0.023707637
Grand Rapids,Michigan,"200,217",6.50%,67.80%,"$44,369.00",11.30%,19.3,22.50%,-0.022810228
San Antonio,Texas,"1,532,233",15.50%,63.50%,"$49,711.00",19.30%,24.1,18.60%,-0.021899376
Sayreville,New Jersey,"44,556",4.20%,68.00%,"$79,620.00",7.30%,33.5,6.20%,-0.020831718
Cedar Hill,Texas,"48,463",7.70%,71.70%,"$69,269.00",14.10%,30.3,10.70%,-0.02004944
Murrieta,California,"114,985",10.90%,62.60%,"$80,373.00",9.40%,36.1,8.90%,-0.014656366
Manassas,Virginia,"41,641",10.10%,75.00%,"$77,551.00",17.90%,34.1,8.80%,-0.013153066
DeSoto,Texas,"53,523",9.10%,69.50%,"$64,575.00",12.30%,31,11.90%,-0.012903936
Nashua,New Hampshire,"89,246",3.20%,69.50%,"$70,316.00",9.50%,26.9,10.80%,-0.012779167
Honolulu,Hawaii,"980,080",2.80%,61.20%,"$80,078.00",4.10%,29.1,8.30%,-0.012230964
Virginia Beach,Virginia,"450,189",2.80%,64.50%,"$70,500.00",10.20%,23.7,8.00%,-0.010599201
Arlington Heights,Illinois,"75,249",0.10%,67.20%,"$87,790.00",6.50%,29.8,4.40%,-0.009940808
Bartlett,Illinois,"40,931",-0.50%,72.90%,"$99,957.00",6.20%,34.8,4.60%,-0.00826599
Visalia,California,"133,800",7.50%,60.10%,"$54,934.00",8.30%,20.9,20.30%,-0.006166368
Walnut Creek,California,"69,825",8.80%,55.80%,"$86,845.00",6.10%,33.6,7.00%,-0.00416524
Delray Beach,Florida,"69,358",14.40%,61.40%,"$53,233.00",19.10%,22.2,16.50%,-0.001678331
Simi Valley,California,"125,851",1.30%,67.40%,"$93,516.00",7.90%,30,6.20%,0.000638493
Pembroke Pines,Florida,"172,374",11.30%,65.10%,"$65,805.00",13.40%,31.5,8.40%,0.00115565
Rohnert Park,California,"43,753",7.20%,67.70%,"$62,769.00",10.30%,26.7,15.00%,0.005360489
Fairfield,Ohio,"42,613",0.30%,70.40%,"$62,198.00",9.70%,22.8,7.00%,0.0069832
Edinburg,Texas,"98,665",20.30%,65.80%,"$45,038.00",25.30%,21.2,25.90%,0.007770554
Irving,Texas,"242,242",12.00%,73.90%,"$58,196.00",23.20%,24.2,14.30%,0.010052209
Bossier City,Louisiana,"68,235",10.50%,57.20%,"$48,468.00",12.80%,17.5,19.30%,0.01338872
Berkeley,California,"121,643",8.10%,62.30%,"$75,709.00",5.70%,28.7,19.80%,0.013586537
Lombard,Illinois,"44,523",2.80%,68.40%,"$73,145.00",7.80%,28.9,6.00%,0.015447005
Port St. Lucie,Florida,"195,248",18.90%,59.10%,"$54,046.00",18.50%,29.1,12.10%,0.016991314
Vancouver,Washington,"183,012",9.50%,64.10%,"$55,593.00",11.50%,25.2,14.00%,0.018713811
Indio,California,"91,240",15.30%,59.80%,"$49,951.00",17.00%,22.4,18.10%,0.019312282
Oklahoma City,Oklahoma,"649,021",11.90%,66.00%,"$51,581.00",18.00%,21.3,17.10%,0.020002265
San Clemente,California,"64,857",2.20%,64.30%,"$101,843.00",8.70%,29.1,6.40%,0.020036351
Avondale,Arizona,"85,835",12.70%,68.00%,"$56,585.00",14.70%,28.1,16.30%,0.020998045
Suffolk,Virginia,"91,185",7.80%,64.30%,"$68,089.00",9.30%,28.4,11.20%,0.021158187
Jeffersonville,Indiana,"47,432",5.30%,64.90%,"$52,861.00",10.50%,21.7,10.20%,0.027826874
Omaha,Nebraska,"468,262",4.00%,69.90%,"$53,789.00",12.50%,18.7,15.10%,0.03616017
Salem,Massachusetts,"43,559",5.40%,68.30%,"$65,528.00",3.50%,30.3,15.30%,0.037041559
Prescott Valley,Arizona,"45,751",17.70%,51.70%,"$45,684.00",16.70%,20.7,15.00%,0.042989526
Anchorage,Alaska,"291,538",-0.10%,70.00%,"$82,271.00",14.40%,18.9,8.10%,0.044196092
Nashville-Davidson,Tennessee,"669,053",10.90%,70.50%,"$52,858.00",15.30%,24.6,17.20%,0.045267294
Huntsville,Alabama,"197,318",9.40%,62.40%,"$51,926.00",13.00%,18.9,18.30%,0.045347838
Coral Springs,Florida,"133,507",9.40%,71.90%,"$70,768.00",16.60%,28.4,10.00%,0.047099955
Palm Desert,California,"53,185",9.80%,53.40%,"$56,262.00",10.80%,19.2,12.50%,0.047199855
Salt Lake City,Utah,"200,591",7.60%,71.00%,"$54,009.00",16.00%,19.4,17.80%,0.048170384
Grand Junction,Colorado,"63,374",7.40%,62.80%,"$47,824.00",12.20%,16.3,18.30%,0.048465939
Downers Grove,Illinois,"49,387",1.00%,66.70%,"$85,546.00",4.80%,29.3,5.40%,0.049417976
Alameda,California,"78,338",6.10%,66.30%,"$89,045.00",6.90%,33,9.20%,0.050291778
Shoreline,Washington,"56,752",7.00%,67.20%,"$76,271.00",8.60%,31,9.00%,0.052845033
Medford,Massachusetts,"57,765",2.60%,69.30%,"$86,204.00",3.60%,32.1,10.30%,0.053206155
Idaho Falls,Idaho,"61,535",7.70%,63.30%,"$49,098.00",13.20%,17.6,14.80%,0.056045872
La Quinta,California,"41,535",10.80%,55.10%,"$76,131.00",13.30%,22.8,11.20%,0.058726261
Woodland,California,"60,531",9.00%,62.50%,"$60,446.00",12.60%,22.1,13.00%,0.060404671
Logan,Utah,"51,619",7.10%,68.40%,"$38,412.00",11.80%,14.4,25.50%,0.062343084
Roswell,Georgia,"94,650",7.20%,71.20%,"$87,911.00",15.00%,29.2,8.90%,0.063968328
Huntington Beach,California,"200,641",5.00%,66.60%,"$88,079.00",9.10%,28.9,8.90%,0.065259097
Bakersfield,California,"383,579",10.10%,63.60%,"$60,058.00",11.20%,22.6,19.20%,0.065768462
Rock Hill,South Carolina,"74,309",11.70%,67.60%,"$44,296.00",12.60%,23.8,18.10%,0.067202273
Bedford,Texas,"49,464",5.30%,70.30%,"$64,933.00",12.80%,25.2,6.30%,0.068405265
Millcreek,Utah,"61,270",4.30%,67.30%,"$61,888.00",12.40%,19.9,10.20%,0.070014778
St. Cloud,Minnesota,"68,043",3.20%,70.70%,"$46,601.00",6.80%,17.4,23.20%,0.070186157
Murray,Utah,"49,308",5.60%,68.80%,"$57,662.00",13.80%,20.2,10.90%,0.072122078
Eugene,Oregon,"171,245",9.50%,61.90%,"$47,489.00",10.10%,18.2,21.70%,0.072415164
Chula Vista,California,"271,651",11.40%,62.80%,"$70,197.00",11.00%,28.7,12.30%,0.073882706
Farmington Hills,Michigan,"81,093",1.70%,65.10%,"$76,637.00",5.50%,25.1,7.50%,0.075662197
Santa Barbara,California,"91,350",3.40%,68.80%,"$71,160.00",14.60%,17.2,13.70%,0.075791346
Medford,Oregon,"82,347",9.90%,61.50%,"$45,361.00",12.80%,16.2,19.80%,0.077273116
Wyoming,Michigan,"75,820",5.10%,71.60%,"$50,971.00",10.80%,20.7,15.50%,0.078772837
Manhattan,Kansas,"54,959",5.40%,63.40%,"$47,632.00",6.70%,14.7,25.40%,0.08090796
St. Paul,Minnesota,"307,695",7.90%,70.70%,"$52,841.00",9.10%,23.7,20.40%,0.081324463
Dubuque,Iowa,"57,941",0.60%,66.50%,"$50,171.00",6.70%,14.5,16.30%,0.081537474
Mesa,Arizona,"508,958",15.70%,63.20%,"$52,155.00",16.30%,24.8,15.80%,0.083373051
Atlanta,Georgia,"498,044",16.70%,65.20%,"$51,701.00",14.30%,26.3,22.40%,0.08409447
Strongsville,Ohio,"44,853",0.20%,66.30%,"$84,135.00",3.80%,27.8,4.30%,0.08499754
Hayward,California,"159,620",10.60%,67.20%,"$74,927.00",10.10%,32.4,10.50%,0.08666443
Keizer,Oregon,"39,692",8.90%,62.30%,"$60,722.00",10.30%,22.7,13.80%,0.0880252
Daly City,California,"107,008",5.80%,68.20%,"$86,342.00",8.40%,30.5,8.90%,0.089703189
Lincoln,California,"47,978",11.80%,52.20%,"$78,647.00",7.40%,29.3,6.90%,0.090488826
Chico,California,"94,776",9.20%,63.60%,"$45,337.00",9.90%,16.6,24.60%,0.09231146
Vacaville,California,"100,154",8.40%,58.10%,"$77,807.00",6.90%,27.6,8.80%,0.094308346
Novato,California,"55,655",7.30%,65.30%,"$89,812.00",7.40%,32.6,7.90%,0.094652611
Grand Island,Nebraska,"51,478",5.80%,72.30%,"$51,627.00",16.40%,16.4,15.00%,0.094895248
Nampa,Idaho,"96,252",17.60%,63.90%,"$43,058.00",16.50%,23.8,20.00%,0.095140637
Attleboro,Massachusetts,"45,117",3.50%,70.20%,"$70,136.00",3.00%,30.6,9.20%,0.097517296
Lubbock,Texas,"255,885",11.40%,65.20%,"$47,326.00",16.70%,16.4,19.80%,0.098364139
Bellevue,Nebraska,"53,627",4.10%,68.80%,"$62,003.00",11.30%,20.9,9.50%,0.098520223
Kennewick,Washington,"82,943",12.10%,62.20%,"$54,420.00",13.00%,21.7,16.70%,0.09866279
Bountiful,Utah,"44,098",3.60%,62.80%,"$69,611.00",9.10%,21.2,6.40%,0.099440341
Culver City,California,"39,214",0.80%,70.50%,"$86,997.00",7.60%,26.1,7.40%,0.100318686
Rancho Cucamonga,California,"177,751",7.50%,66.40%,"$83,736.00",7.70%,31.8,8.40%,0.100547955
Tustin,California,"79,795",5.90%,71.10%,"$73,567.00",11.60%,24.5,13.60%,0.103755259
Santa Monica,California,"91,411",1.90%,70.70%,"$86,084.00",7.30%,26.2,10.70%,0.105547688
Union City,California,"74,559",7.20%,63.50%,"$95,625.00",5.70%,33.9,7.10%,0.105848116
Thousand Oaks,California,"127,690",1.00%,65.30%,"$103,793.00",7.90%,26.2,5.70%,0.106053516
Puyallup,Washington,"41,886",12.50%,65.00%,"$65,719.00",9.70%,31.7,10.60%,0.106244378
Casper,Wyoming,"57,461",3.90%,70.00%,"$60,470.00",15.40%,16.5,10.10%,0.107709492
Brookhaven,Georgia,"54,145",9.10%,76.90%,"$78,863.00",18.90%,26.1,14.10%,0.107994263
West Sacramento,California,"53,727",10.20%,64.60%,"$59,586.00",9.70%,24.2,16.90%,0.10810021
Norman,Oklahoma,"123,471",11.30%,64.20%,"$53,733.00",11.20%,22.4,18.20%,0.1090847
Peabody,Massachusetts,"53,278",3.90%,65.90%,"$65,085.00",3.30%,26.5,9.80%,0.110453321
Haverhill,Massachusetts,"64,041",5.20%,69.70%,"$65,926.00",3.50%,29.4,12.60%,0.110895449
Mentor,Ohio,"47,273",0.20%,65.60%,"$70,625.00",4.70%,22.7,5.30%,0.111582107
Edmonds,Washington,"42,767",7.60%,65.70%,"$82,697.00",6.90%,32.7,6.10%,0.11240167
Stamford,Connecticut,"129,775",5.80%,74.10%,"$84,893.00",14.20%,27.3,9.30%,0.112697289
Coon Rapids,Minnesota,"62,527",1.70%,72.10%,"$68,586.00",6.00%,26.4,7.20%,0.113391989
Chapel Hill,North Carolina,"60,988",6.60%,60.80%,"$67,426.00",6.10%,19.7,20.30%,0.115831028
Champaign,Illinois,"88,029",8.30%,62.90%,"$44,638.00",6.90%,15.7,26.90%,0.116858707
Oro Valley,Arizona,"45,395",10.60%,50.50%,"$79,458.00",5.00%,28.5,5.80%,0.116933925
Winter Haven,Florida,"43,020",24.50%,51.40%,"$41,790.00",17.50%,24.1,18.70%,0.117524532
Lewisville,Texas,"106,586",11.70%,77.00%,"$59,964.00",20.30%,26.3,10.90%,0.118617104
Napa,California,"79,263",2.80%,68.80%,"$75,341.00",10.80%,21.7,8.10%,0.118799014
Burnsville,Minnesota,"61,203",1.50%,73.00%,"$67,397.00",7.40%,23.9,9.30%,0.120248072
Plantation,Florida,"94,288",11.10%,67.40%,"$69,531.00",15.20%,26.7,9.00%,0.121495611
Springdale,Arkansas,"81,029",14.40%,67.90%,"$47,993.00",19.40%,19.4,18.80%,0.121596848
Fairfield,California,"116,884",10.90%,63.00%,"$75,292.00",8.00%,30.8,10.60%,0.123590415
Smyrna,Georgia,"56,706",10.80%,77.20%,"$70,547.00",17.10%,29.4,11.90%,0.124520151
Roy,Utah,"38,773",5.10%,68.00%,"$66,333.00",9.20%,22.9,10.90%,0.125817789
Waukesha,Wisconsin,"72,549",1.90%,71.50%,"$61,380.00",6.70%,22.3,10.60%,0.127248279
San Diego,California,"1,425,976",9.50%,65.00%,"$71,535.00",11.60%,24,14.50%,0.127919046
Casa Grande,Arizona,"57,232",17.90%,55.90%,"$46,357.00",13.20%,22.6,17.90%,0.128314993
Maricopa,Arizona,"50,024",15.00%,64.00%,"$68,908.00",10.10%,35,8.10%,0.129408195
Blue Springs,Missouri,"55,104",4.70%,70.50%,"$68,258.00",8.30%,26.1,8.30%,0.13180353
Ann Arbor,Michigan,"121,890",6.90%,61.70%,"$61,247.00",3.80%,20.4,22.10%,0.133093844
Everett,Massachusetts,"46,880",12.60%,71.80%,"$57,254.00",7.80%,34,13.90%,0.13429126
Lakewood,Colorado,"156,798",9.90%,68.70%,"$61,058.00",12.10%,26.1,10.80%,0.134336132
Salem,Oregon,"173,442",12.00%,61.70%,"$51,666.00",10.90%,21.6,16.20%,0.136597441
Billings,Montana,"109,550",5.00%,67.30%,"$55,585.00",12.70%,16.7,10.80%,0.13668894
Albany,Oregon,"54,453",8.60%,62.50%,"$54,275.00",8.30%,20.6,15.40%,0.138388659
Normal,Illinois,"54,742",4.20%,67.10%,"$56,363.00",4.70%,17.8,22.70%,0.139773685
Fort Worth,Texas,"895,008",20.20%,67.00%,"$57,309.00",21.10%,27,16.90%,0.142482556
Chesapeake,Virginia,"242,634",9.10%,62.40%,"$72,214.00",9.20%,25.9,9.60%,0.143177859
Brooklyn Park,Minnesota,"80,610",6.40%,71.70%,"$68,274.00",10.10%,26,10.50%,0.144857195
Rio Rancho,New Mexico,"98,023",12.20%,62.90%,"$63,180.00",8.50%,28.4,12.30%,0.145460822
Miramar,Florida,"140,823",15.50%,69.60%,"$66,560.00",16.90%,30.7,10.10%,0.145873586
Petaluma,California,"61,917",6.90%,66.20%,"$84,949.00",6.70%,30.1,8.70%,0.14699237
Tampa,Florida,"392,890",16.90%,64.60%,"$48,245.00",14.60%,24,20.00%,0.147493054
Chelsea,Massachusetts,"40,160",14.20%,71.30%,"$51,839.00",7.60%,32.1,19.50%,0.148373482
Aurora,Colorado,"374,114",15.20%,70.70%,"$58,343.00",15.30%,29.3,13.70%,0.150740457
Westfield,Massachusetts,"41,680",1.40%,65.30%,"$62,212.00",2.30%,22.1,8.50%,0.151830461
Wheaton,Illinois,"53,150",0.30%,67.00%,"$95,238.00",4.30%,26.9,5.00%,0.152427089
Northglenn,Colorado,"39,010",9.10%,73.20%,"$64,237.00",9.80%,29.8,11.00%,0.153577726
Charlottesville,Virginia,"48,117",10.80%,63.60%,"$54,739.00",10.20%,17.8,24.50%,0.155488415
Eau Claire,Wisconsin,"68,866",4.00%,70.70%,"$47,660.00",8.20%,16.7,17.40%,0.156777672
Des Moines,Iowa,"216,853",6.20%,70.60%,"$49,999.00",9.20%,18.8,18.10%,0.157754191
Redondo Beach,California,"67,412",0.70%,71.60%,"$104,548.00",6.30%,29.9,4.80%,0.158336045
Wilmington,North Carolina,"122,607",15.20%,63.00%,"$43,867.00",13.70%,18.8,23.20%,0.159268776
Frederick,Maryland,"72,146",10.50%,71.90%,"$67,828.00",9.00%,31.9,11.40%,0.160167877
Cape Coral,Florida,"189,343",22.70%,57.50%,"$53,653.00",18.20%,27.9,12.70%,0.160688694
Glenview,Illinois,"47,258",5.70%,58.60%,"$103,773.00",5.00%,30.1,3.80%,0.16221282
Asheville,North Carolina,"92,452",10.80%,64.90%,"$46,464.00",13.70%,17.8,15.10%,0.163819403
Newport Beach,California,"85,326",0.10%,61.90%,"$119,379.00",5.80%,25,6.20%,0.164802159
Westminster,Colorado,"113,479",6.90%,71.50%,"$70,990.00",10.10%,27.1,8.60%,0.166125237
Weston,Florida,"71,210",8.90%,65.90%,"$96,173.00",9.60%,31.6,7.50%,0.166994897
Spokane Valley,Washington,"99,703",11.10%,62.60%,"$48,015.00",10.90%,20,14.10%,0.169289086
Lexington-Fayette,Kentucky,"323,780",9.40%,67.70%,"$53,013.00",9.60%,20.9,18.60%,0.169611165
Renton,Washington,"102,153",11.20%,71.00%,"$70,661.00",10.70%,30.9,10.90%,0.172425495
Buffalo Grove,Illinois,"40,853",-1.60%,72.40%,"$106,564.00",3.70%,29.6,4.60%,0.172516974
Reno,Nevada,"250,998",11.40%,67.10%,"$52,106.00",14.30%,19.5,16.20%,0.174829357
Kentwood,Michigan,"51,868",6.50%,69.00%,"$50,689.00",8.90%,20,13.60%,0.175495684
Euless,Texas,"57,346",11.80%,75.30%,"$60,558.00",19.10%,24,11.70%,0.177897224
Rapid City,South Dakota,"75,443",10.20%,64.60%,"$48,895.00",14.10%,15.7,16.30%,0.177928934
New Berlin,Wisconsin,"39,733",0.40%,65.70%,"$78,078.00",3.80%,23.3,3.90%,0.17805958
Marlborough,Massachusetts,"39,825",3.40%,73.90%,"$75,418.00",5.50%,29.4,6.50%,0.179316767
Coconut Creek,Florida,"61,361",15.70%,66.60%,"$56,556.00",16.80%,26.8,8.50%,0.182439265
Milford,Connecticut,"53,120",3.60%,67.10%,"$86,496.00",4.70%,28,6.10%,0.18455038
Kannapolis,North Carolina,"49,761",16.80%,67.80%,"$49,637.00",15.00%,26.1,16.10%,0.185121017
Bartlett,Tennessee,"59,315",4.20%,63.80%,"$82,213.00",5.40%,25,6.70%,0.185954594
Mission Viejo,California,"95,202",2.20%,65.80%,"$107,988.00",6.20%,27.8,4.90%,0.18857556
Orlando,Florida,"285,713",19.60%,71.80%,"$45,436.00",19.90%,25.4,19.10%,0.193616303
Denton,Texas,"138,541",19.10%,66.50%,"$52,164.00",18.40%,23.7,19.50%,0.1947582
Appleton,Wisconsin,"74,526",2.50%,70.70%,"$55,817.00",7.00%,18.3,11.60%,0.196333969
Bloomington,Minnesota,"85,578",3.20%,69.00%,"$70,512.00",7.70%,21.9,7.30%,0.198907105
North Richland Hills,Texas,"70,836",11.80%,69.80%,"$65,340.00",14.60%,26.7,7.60%,0.200871815
Surprise,Arizona,"138,161",17.60%,55.00%,"$62,927.00",8.40%,30.3,9.10%,0.202886226
Davie,Florida,"106,558",15.90%,67.00%,"$64,170.00",15.00%,27.7,12.60%,0.203643619
Olympia,Washington,"52,555",12.10%,62.20%,"$55,539.00",9.50%,20.5,18.40%,0.204116053
Boston,Massachusetts,"694,583",12.40%,68.80%,"$62,021.00",4.20%,30.4,20.50%,0.205090872
Shelton,Connecticut,"41,097",3.90%,66.50%,"$89,250.00",4.60%,28.1,5.40%,0.206262554
Chesterfield,Missouri,"47,644",0.30%,61.20%,"$99,848.00",3.60%,22.7,4.80%,0.206517281
Conway,Arkansas,"66,426",12.80%,64.60%,"$46,741.00",11.00%,20.2,17.80%,0.207480229
Auburn,Washington,"81,905",16.70%,66.10%,"$64,400.00",10.80%,31.7,13.60%,0.209593366
Peoria,Arizona,"172,259",11.80%,63.80%,"$69,589.00",9.30%,28.1,8.20%,0.211113512
Weymouth Town,Massachusetts,"57,719",7.40%,70.30%,"$75,892.00",3.20%,33.8,6.60%,0.211156424
Newnan,Georgia,"39,784",20.90%,65.60%,"$53,657.00",14.10%,29,20.50%,0.211744206
Bowie,Maryland,"58,682",6.00%,71.30%,"$108,637.00",5.80%,36.8,3.60%,0.213570457
Temple,Texas,"76,256",15.40%,62.60%,"$49,970.00",15.10%,18.2,19.20%,0.215310247
Columbus,Indiana,"47,543",7.80%,65.50%,"$57,535.00",11.50%,17.3,12.20%,0.216790349
Chino Hills,California,"83,447",11.60%,66.70%,"$102,746.00",6.30%,38.9,6.30%,0.216794767
Portland,Oregon,"653,115",11.90%,69.70%,"$61,532.00",9.90%,26.1,16.20%,0.218277398
Beaverton,Oregon,"98,962",10.30%,70.10%,"$64,619.00",11.30%,24.8,12.60%,0.221296202
Maplewood,Minnesota,"41,004",7.90%,68.90%,"$63,941.00",8.00%,25.5,8.70%,0.22248293
Friendswood,Texas,"40,181",11.90%,64.20%,"$98,609.00",11.30%,32.1,5.70%,0.225323665
Lawrence,Kansas,"97,286",10.90%,69.30%,"$49,297.00",10.10%,19.3,21.80%,0.225798705
Caldwell,Idaho,"56,541",22.10%,64.60%,"$43,269.00",18.70%,23.5,19.30%,0.2339709
Rochester Hills,Michigan,"74,696",5.20%,64.50%,"$87,475.00",4.90%,27,5.30%,0.235271522
Jonesboro,Arkansas,"76,990",14.40%,63.10%,"$44,171.00",12.20%,17.6,20.40%,0.236224996
Columbus,Ohio,"892,533",13.10%,70.10%,"$49,478.00",11.50%,21.6,20.80%,0.237145271
San Jose,California,"1,030,119",8.20%,67.90%,"$96,662.00",8.20%,29.4,10.00%,0.240148209
Bowling Green,Kentucky,"68,401",15.90%,62.80%,"$39,901.00",10.30%,17.7,26.40%,0.241272499
Flagstaff,Arizona,"73,964",12.00%,67.50%,"$51,758.00",14.00%,15.7,21.70%,0.243258024
Troy,Michigan,"84,272",4.10%,64.10%,"$93,017.00",5.30%,25.5,5.10%,0.244265858
Laguna Niguel,California,"66,266",5.20%,66.50%,"$99,206.00",4.60%,29.3,7.30%,0.244456967
Lake Elsinore,California,"68,183",27.90%,65.90%,"$66,032.00",12.00%,44.1,15.80%,0.244802685
Fort Myers,Florida,"82,254",32.00%,55.60%,"$41,591.00",24.40%,24.8,20.60%,0.246179034
Naperville,Illinois,"148,304",4.30%,69.20%,"$114,014.00",4.40%,33.7,4.40%,0.247185109
Bonita Springs,Florida,"57,370",30.60%,46.10%,"$62,017.00",25.80%,22.5,12.50%,0.248994684
Orem,Utah,"97,521",10.40%,68.20%,"$58,077.00",13.80%,17.9,15.00%,0.252143132
Rancho Santa Margarita,California,"48,325",1.00%,75.20%,"$106,939.00",5.70%,30.1,4.40%,0.255156964
Clarksville,Tennessee,"156,794",18.00%,57.00%,"$51,164.00",10.40%,23.3,15.30%,0.256339718
Greenwood,Indiana,"58,778",14.80%,65.60%,"$55,274.00",11.50%,25.3,12.20%,0.25703203
Bloomington,Illinois,"77,962",1.60%,69.10%,"$64,503.00",5.40%,15.9,13.30%,0.258566845
Killeen,Texas,"149,103",16.80%,60.40%,"$48,898.00",13.10%,21.3,13.90%,0.259002931
Bellingham,Washington,"90,665",11.60%,64.20%,"$47,886.00",7.90%,17.7,21.60%,0.260674154
Temecula,California,"114,742",14.70%,64.90%,"$87,115.00",9.00%,34.9,6.80%,0.261134761
Sugar Land,Texas,"118,600",10.00%,63.40%,"$108,994.00",9.90%,30.5,6.00%,0.262356346
Waltham,Massachusetts,"62,962",3.90%,69.80%,"$83,249.00",4.40%,25.2,9.80%,0.26280647
Rancho Cordova,California,"74,585",15.10%,67.20%,"$57,965.00",11.60%,25.6,14.90%,0.263986697
Greeley,Colorado,"107,348",15.50%,63.80%,"$52,887.00",10.60%,22.9,17.50%,0.264306093
Poway,California,"49,704",4.00%,64.10%,"$102,338.00",5.50%,25.1,6.70%,0.268382562
Encinitas,California,"62,904",5.70%,65.70%,"$103,842.00",8.40%,25.5,7.60%,0.269189813
San Francisco,California,"883,305",9.70%,70.30%,"$96,265.00",6.40%,32.8,11.70%,0.270267824
Boise City,Idaho,"228,790",9.30%,68.50%,"$54,547.00",11.00%,18.4,14.00%,0.271230172
San Bruno,California,"43,047",4.80%,71.50%,"$94,705.00",8.00%,27.8,5.10%,0.27202292
San Marcos,California,"96,847",15.80%,64.30%,"$70,417.00",13.10%,26.2,12.30%,0.274244329
Yorba Linda,California,"67,787",5.60%,64.40%,"$123,962.00",4.90%,32.9,3.80%,0.274852607
Carrollton,Texas,"136,879",14.90%,73.30%,"$73,218.00",20.10%,25.2,10.10%,0.277743854
Twin Falls,Idaho,"49,764",12.30%,68.40%,"$46,283.00",15.00%,16.2,15.70%,0.278384906
Pacifica,California,"38,759",3.90%,70.00%,"$106,959.00",4.70%,30.7,4.90%,0.279217313
Coeur d'Alene,Idaho,"51,303",16.20%,62.60%,"$47,606.00",15.20%,17.9,15.50%,0.28407683
Minneapolis,Minnesota,"425,403",11.20%,74.10%,"$55,720.00",9.20%,22.9,20.70%,0.287645434
Southaven,Mississippi,"54,944",12.20%,68.60%,"$60,093.00",12.00%,23.2,11.10%,0.288233482
Iowa City,Iowa,"76,290",12.30%,68.40%,"$45,991.00",7.60%,17.1,28.00%,0.294662695
South San Francisco,California,"67,733",6.40%,69.10%,"$92,074.00",6.70%,27.4,7.40%,0.295267229
Fayetteville,Arkansas,"86,751",17.90%,63.40%,"$41,158.00",10.80%,19.5,24.30%,0.296037388
Brea,California,"43,601",11.30%,68.50%,"$90,214.00",6.80%,33.4,7.30%,0.299161154
